LOC,CC,PC,label
4.0,1.0,2.0,1
3.0,1.0,1.0,1
32.0,11.0,1.0,1
24.0,8.0,0.0,1
36.0,5.0,1.0,2
9.0,1.0,9.0,1
6.0,1.0,0.0,1
18.0,5.0,1.0,1
30.0,1.0,0.0,1
63.0,13.0,1.0,1
22.0,4.0,1.0,1
66.0,1.0,0.0,1
7.0,2.0,0.0,2
35.0,2.0,2.0,2
18.0,1.0,0.0,1
31.0,7.0,0.0,1
97.0,30.0,1.0,1
48.0,10.0,0.0,1
88.0,11.0,3.0,2
21.0,5.0,0.0,2
19.0,6.0,0.0,2
3.0,1.0,1.0,2
5.0,1.0,0.0,2
5.0,1.0,0.0,2
9.0,4.0,0.0,2
15.0,3.0,0.0,2
26.0,5.0,1.0,2
130.0,20.0,2.0,1
34.0,7.0,1.0,1
26.0,3.0,5.0,2
35.0,6.0,1.0,1
4.0,1.0,0.0,2
13.0,2.0,0.0,2
50.0,11.0,2.0,1
28.0,4.0,0.0,1
15.0,4.0,3.0,2
3.0,1.0,0.0,2
3.0,1.0,1.0,2
13.0,1.0,11.0,2
3.0,1.0,0.0,2
6.0,1.0,2.0,2
34.0,8.0,1.0,2
18.0,5.0,1.0,1
8.0,4.0,1.0,1
3.0,1.0,1.0,2
17.0,4.0,4.0,1
3.0,1.0,1.0,2
59.0,11.0,0.0,1
3.0,1.0,1.0,2
10.0,3.0,0.0,2
29.0,4.0,4.0,1
11.0,1.0,2.0,1
10.0,3.0,2.0,2
55.0,9.0,1.0,1
8.0,2.0,1.0,1
18.0,4.0,1.0,2
5.0,1.0,3.0,2
3.0,1.0,0.0,2
20.0,1.0,0.0,2
22.0,3.0,3.0,2
20.0,1.0,0.0,1
13.0,3.0,0.0,1
3.0,1.0,6.0,2
22.0,8.0,3.0,1
61.0,22.0,1.0,1
12.0,2.0,2.0,2
17.0,6.0,0.0,1
3.0,1.0,5.0,1
0.0,1.0,1.0,1
3.0,1.0,1.0,1
9.0,3.0,0.0,1
6.0,1.0,0.0,1
41.0,9.0,0.0,2
57.0,9.0,3.0,1
17.0,3.0,2.0,2
27.0,7.0,1.0,2
27.0,3.0,5.0,1
5.0,2.0,3.0,2
21.0,4.0,4.0,1
42.0,7.0,3.0,2
5.0,1.0,0.0,1
6.0,1.0,0.0,1
16.0,3.0,1.0,1
23.0,9.0,1.0,2
42.0,12.0,3.0,1
8.0,2.0,2.0,2
21.0,1.0,1.0,1
10.0,2.0,0.0,1
11.0,2.0,1.0,1
15.0,2.0,1.0,1
11.0,1.0,3.0,1
30.0,3.0,2.0,1
18.0,3.0,0.0,1
3.0,1.0,1.0,1
3.0,1.0,0.0,1
5.0,1.0,0.0,1
13.0,4.0,3.0,1
29.0,3.0,6.0,1
7.0,1.0,0.0,1
10.0,1.0,3.0,2
11.0,2.0,0.0,1
18.0,6.0,2.0,1
22.0,3.0,3.0,1
59.0,11.0,0.0,1
8.0,3.0,0.0,2
21.0,1.0,0.0,1
3.0,1.0,0.0,2
27.0,4.0,4.0,2
3.0,1.0,1.0,1
7.0,4.0,0.0,1
3.0,1.0,1.0,2
9.0,1.0,0.0,1
48.0,8.0,0.0,2
30.0,5.0,3.0,1
76.0,8.0,1.0,2
11.0,3.0,0.0,2
3.0,1.0,1.0,2
4.0,2.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,7.0,2
5.0,1.0,0.0,1
24.0,1.0,3.0,2
23.0,4.0,0.0,2
13.0,2.0,2.0,2
6.0,1.0,0.0,1
0.0,1.0,0.0,2
50.0,8.0,0.0,1
9.0,3.0,1.0,1
4.0,2.0,1.0,1
23.0,3.0,5.0,1
10.0,3.0,1.0,1
3.0,1.0,6.0,2
7.0,2.0,0.0,2
97.0,14.0,3.0,2
25.0,12.0,2.0,1
2.0,1.0,1.0,2
3.0,1.0,1.0,1
44.0,10.0,3.0,1
30.0,8.0,2.0,2
20.0,5.0,1.0,1
19.0,3.0,2.0,1
36.0,5.0,0.0,1
9.0,3.0,0.0,1
26.0,5.0,1.0,1
9.0,3.0,2.0,1
5.0,1.0,0.0,1
8.0,1.0,0.0,2
41.0,6.0,2.0,1
3.0,1.0,0.0,2
4.0,1.0,2.0,2
7.0,2.0,0.0,2
12.0,3.0,6.0,1
10.0,3.0,1.0,1
8.0,3.0,1.0,1
9.0,1.0,1.0,1
43.0,5.0,1.0,2
13.0,4.0,1.0,2
3.0,1.0,0.0,2
6.0,1.0,1.0,2
3.0,1.0,1.0,1
3.0,1.0,0.0,2
6.0,2.0,0.0,2
15.0,2.0,4.0,2
6.0,1.0,0.0,1
47.0,9.0,1.0,1
3.0,1.0,1.0,2
14.0,2.0,1.0,1
3.0,1.0,2.0,1
10.0,3.0,1.0,2
9.0,3.0,0.0,1
4.0,1.0,2.0,1
22.0,6.0,1.0,1
118.0,28.0,0.0,2
4.0,1.0,5.0,1
12.0,2.0,0.0,2
4.0,1.0,1.0,2
17.0,3.0,2.0,1
71.0,22.0,3.0,1
36.0,5.0,2.0,1
17.0,2.0,0.0,1
28.0,7.0,0.0,2
6.0,2.0,1.0,1
18.0,4.0,0.0,2
10.0,1.0,3.0,1
13.0,3.0,0.0,2
16.0,1.0,2.0,1
6.0,2.0,0.0,1
28.0,4.0,1.0,1
24.0,1.0,2.0,1
3.0,1.0,0.0,2
8.0,3.0,1.0,1
12.0,8.0,1.0,1
59.0,11.0,4.0,2
7.0,1.0,0.0,1
12.0,4.0,3.0,2
12.0,1.0,0.0,2
7.0,3.0,1.0,2
55.0,11.0,2.0,2
30.0,1.0,1.0,2
16.0,3.0,3.0,2
10.0,2.0,1.0,1
36.0,5.0,3.0,2
31.0,4.0,1.0,1
18.0,4.0,1.0,2
41.0,15.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,1.0,2
14.0,3.0,1.0,1
11.0,3.0,1.0,1
57.0,18.0,1.0,2
19.0,1.0,0.0,2
0.0,1.0,4.0,2
16.0,3.0,1.0,1
33.0,6.0,1.0,1
3.0,2.0,1.0,2
3.0,1.0,0.0,2
9.0,3.0,0.0,1
3.0,1.0,0.0,1
38.0,7.0,1.0,1
9.0,3.0,1.0,2
8.0,1.0,1.0,2
44.0,10.0,1.0,1
24.0,3.0,1.0,2
42.0,7.0,1.0,2
6.0,1.0,0.0,1
11.0,1.0,0.0,2
7.0,2.0,0.0,2
55.0,13.0,3.0,2
6.0,4.0,1.0,1
2.0,1.0,2.0,1
0.0,1.0,0.0,2
3.0,1.0,0.0,2
23.0,5.0,2.0,1
17.0,2.0,0.0,2
22.0,2.0,0.0,1
13.0,2.0,0.0,2
27.0,8.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
40.0,5.0,3.0,1
24.0,5.0,1.0,1
19.0,4.0,2.0,1
3.0,1.0,0.0,2
7.0,2.0,2.0,1
19.0,6.0,0.0,2
66.0,15.0,0.0,1
16.0,3.0,1.0,1
44.0,8.0,0.0,1
3.0,1.0,0.0,2
8.0,2.0,0.0,1
13.0,3.0,4.0,2
15.0,6.0,3.0,1
65.0,17.0,2.0,1
14.0,1.0,0.0,1
8.0,1.0,6.0,1
20.0,4.0,1.0,2
22.0,5.0,1.0,2
33.0,5.0,0.0,1
22.0,6.0,1.0,1
5.0,1.0,1.0,2
23.0,6.0,1.0,2
3.0,1.0,0.0,2
214.0,46.0,0.0,2
17.0,6.0,0.0,2
3.0,1.0,0.0,2
42.0,8.0,0.0,1
33.0,3.0,1.0,2
6.0,1.0,0.0,1
60.0,8.0,0.0,1
4.0,1.0,3.0,2
24.0,6.0,1.0,1
55.0,11.0,1.0,1
16.0,4.0,1.0,1
8.0,2.0,0.0,2
12.0,1.0,3.0,2
6.0,4.0,0.0,1
20.0,3.0,4.0,1
5.0,2.0,2.0,1
