LOC,CC,PC,label
6.0,2.0,1.0,2
13.0,1.0,9.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
70.0,10.0,1.0,1
21.0,3.0,2.0,2
45.0,6.0,6.0,1
5.0,1.0,1.0,2
7.0,1.0,5.0,1
97.0,22.0,0.0,2
30.0,1.0,0.0,1
19.0,5.0,2.0,1
3.0,1.0,0.0,2
0.0,1.0,1.0,2
15.0,5.0,2.0,1
3.0,1.0,1.0,2
20.0,2.0,0.0,2
29.0,5.0,3.0,1
8.0,1.0,0.0,1
43.0,6.0,0.0,2
18.0,5.0,1.0,1
3.0,1.0,0.0,2
61.0,14.0,1.0,1
17.0,3.0,1.0,2
20.0,5.0,2.0,1
10.0,3.0,1.0,2
7.0,2.0,1.0,2
9.0,1.0,0.0,2
15.0,2.0,0.0,2
2.0,1.0,0.0,2
8.0,1.0,0.0,1
35.0,5.0,0.0,1
3.0,1.0,1.0,2
5.0,1.0,2.0,2
9.0,2.0,1.0,1
17.0,6.0,2.0,1
43.0,9.0,3.0,1
6.0,1.0,0.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
31.0,4.0,1.0,2
11.0,1.0,7.0,1
28.0,4.0,5.0,1
4.0,2.0,0.0,1
13.0,3.0,2.0,2
5.0,1.0,0.0,2
35.0,4.0,0.0,1
4.0,1.0,1.0,2
12.0,1.0,0.0,2
8.0,2.0,1.0,2
10.0,1.0,1.0,2
4.0,1.0,0.0,2
68.0,10.0,0.0,1
32.0,7.0,0.0,2
7.0,2.0,0.0,1
64.0,15.0,3.0,1
3.0,1.0,0.0,1
58.0,17.0,1.0,1
3.0,1.0,0.0,2
32.0,8.0,3.0,2
7.0,2.0,1.0,2
10.0,1.0,1.0,2
14.0,4.0,0.0,1
20.0,3.0,2.0,2
3.0,1.0,1.0,2
16.0,2.0,2.0,1
3.0,1.0,1.0,2
10.0,1.0,1.0,1
38.0,5.0,0.0,1
19.0,2.0,0.0,1
3.0,1.0,1.0,2
32.0,2.0,0.0,1
42.0,14.0,1.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
3.0,1.0,0.0,2
75.0,16.0,4.0,1
9.0,1.0,0.0,1
37.0,6.0,0.0,2
12.0,3.0,3.0,2
34.0,10.0,1.0,1
40.0,9.0,0.0,2
4.0,1.0,3.0,1
37.0,10.0,0.0,1
39.0,9.0,3.0,1
24.0,5.0,1.0,2
10.0,1.0,1.0,1
8.0,1.0,0.0,1
17.0,3.0,2.0,2
4.0,1.0,1.0,1
15.0,5.0,0.0,1
32.0,6.0,2.0,1
18.0,3.0,2.0,1
3.0,1.0,1.0,2
10.0,1.0,0.0,1
8.0,1.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
21.0,5.0,0.0,2
11.0,3.0,0.0,2
16.0,4.0,1.0,2
14.0,4.0,0.0,2
3.0,1.0,0.0,2
12.0,2.0,0.0,2
10.0,2.0,0.0,1
3.0,1.0,1.0,2
14.0,2.0,0.0,2
43.0,7.0,0.0,1
29.0,9.0,1.0,1
14.0,2.0,1.0,2
8.0,1.0,0.0,1
4.0,1.0,2.0,1
13.0,9.0,1.0,1
18.0,6.0,1.0,1
3.0,1.0,0.0,2
3.0,1.0,0.0,2
27.0,7.0,2.0,1
21.0,1.0,0.0,1
11.0,3.0,0.0,1
9.0,1.0,0.0,1
3.0,1.0,1.0,2
14.0,2.0,0.0,1
31.0,4.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
10.0,1.0,0.0,2
21.0,3.0,2.0,2
22.0,4.0,3.0,2
26.0,2.0,2.0,1
46.0,12.0,0.0,2
7.0,2.0,1.0,1
9.0,3.0,3.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,2
6.0,2.0,0.0,2
3.0,1.0,0.0,2
49.0,5.0,1.0,1
18.0,2.0,1.0,1
3.0,1.0,1.0,2
95.0,12.0,0.0,2
9.0,2.0,1.0,1
40.0,5.0,1.0,1
