NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
1.0,0.0,2.0,2.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,2
2.0,0.0,28.0,27.0,97.0,29.0,0.0,0.0,0.0,0.0,1.0,1
38.0,36.0,11.0,5.0,152.0,22.0,0.0,0.0,0.5454545454545454,6.0,2.0,2
1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,-1.0,4.0,0.0,1
2.0,0.0,4.0,4.0,19.0,5.0,0.0,0.0,0.5,1.0,2.0,2
2.0,0.0,5.0,5.0,49.0,5.0,0.0,0.0,0.6,0.0,0.0,1
0.0,0.0,1.0,1.0,8.0,1.0,0.0,1.0,-1.0,0.0,0.0,1
0.0,0.0,5.0,3.0,57.0,7.0,0.0,1.0,-1.0,1.0,5.0,1
2.0,0.0,10.0,9.0,46.0,12.0,0.0,1.0,0.4,1.0,7.0,2
3.0,0.0,3.0,3.0,27.0,4.0,0.0,1.0,0.0,0.0,3.0,1
1.0,0.0,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1
6.0,0.0,22.0,22.0,217.0,38.0,2.0,0.0,0.3181818181818182,77.0,5.0,1
2.0,0.0,3.0,2.0,64.0,15.0,0.0,2.0,0.6666666666666666,0.0,4.0,2
4.0,0.0,6.0,5.0,37.0,7.0,0.0,0.0,0.8333333333333334,1.0,6.0,2
6.0,0.0,12.0,7.0,230.0,36.0,0.0,0.0,0.3333333333333333,3.0,2.0,2
5.0,1.0,4.0,4.0,51.0,8.0,1.0,0.0,0.0,3.0,2.0,1
1.0,0.0,7.0,4.0,48.0,14.0,0.0,0.0,0.0,1.0,1.0,2
1.0,0.0,2.0,1.0,22.0,2.0,0.0,1.0,0.0,0.0,1.0,2
2.0,0.0,2.0,2.0,32.0,6.0,0.0,0.0,0.0,0.0,1.0,1
2.0,0.0,6.0,6.0,28.0,7.0,0.0,0.0,0.0,5.0,1.0,2
0.0,0.0,2.0,1.0,11.0,3.0,0.0,0.0,-1.0,2.0,3.0,2
0.0,0.0,2.0,2.0,29.0,2.0,0.0,1.0,-1.0,0.0,0.0,1
1.0,0.0,2.0,2.0,34.0,4.0,0.0,0.0,0.0,40.0,1.0,2
2.0,0.0,12.0,8.0,165.0,27.0,0.0,1.0,0.25,1.0,9.0,1
3.0,0.0,6.0,6.0,57.0,6.0,1.0,0.0,0.8333333333333334,7.0,2.0,2
23.0,0.0,48.0,30.0,816.0,189.0,0.0,2.0,0.0625,0.0,21.0,2
7.0,0.0,4.0,4.0,226.0,28.0,0.0,0.0,0.0,0.0,7.0,2
7.0,0.0,2.0,1.0,56.0,12.0,0.0,0.0,0.0,0.0,0.0,2
4.0,0.0,5.0,5.0,52.0,5.0,0.0,0.0,0.0,3.0,1.0,2
1.0,0.0,3.0,2.0,25.0,4.0,0.0,0.0,0.0,0.0,3.0,1
1.0,0.0,2.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,1
1.0,0.0,4.0,4.0,15.0,4.0,0.0,1.0,1.0,2.0,0.0,1
0.0,0.0,2.0,2.0,19.0,2.0,1.0,0.0,-1.0,1.0,1.0,2
0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,-1.0,1.0,0.0,1
0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,-1.0,0.0,1.0,1
1.0,0.0,12.0,5.0,119.0,15.0,0.0,0.0,0.0,0.0,10.0,1
1.0,0.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,2.0,0.0,29.0,5.0,0.0,1.0,-1.0,0.0,2.0,2
0.0,0.0,17.0,16.0,167.0,17.0,0.0,0.0,-1.0,1.0,2.0,2
13.0,1.0,7.0,5.0,134.0,15.0,0.0,0.0,0.0,17.0,2.0,1
5.0,0.0,6.0,4.0,91.0,14.0,0.0,1.0,0.0,0.0,4.0,1
0.0,0.0,2.0,2.0,13.0,2.0,0.0,0.0,-1.0,0.0,0.0,1
